Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",50.0,3.3,1.98,4.8,140.0,120.0,11.0
"Milk, sheep, fluid",108.0,5.98,7.0,5.36,137.0,193.0,18.0
"Milk, whole, 3.25% milkfat, with added vitamin D",61.0,3.15,3.25,4.8,132.0,113.0,10.0
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",61.0,3.15,3.27,4.78,132.0,113.0,10.0
"Nutritional supplement for people with diabetes, liquid",88.0,4.4,3.08,11.9,176.0,110.0,44.0
"Parmesan cheese topping, fat free",370.0,40.0,5.0,40.0,600.0,800.0,40.0
"Protein supplement, milk based, Muscle Milk Light, powder",396.0,50.0,12.0,22.0,840.0,1200.0,280.0
"Protein supplement, milk based, Muscle Milk, powder",411.0,45.7,17.1,18.5,1130.0,500.0,200.0
Reddi Wip Fat Free Whipped Topping,149.0,3.0,5.0,25.0,108.0,108.0,8.0
"Sour cream, fat free",74.0,3.1,0.0,15.6,129.0,125.0,10.0
"Sour cream, imitation, cultured",208.0,2.4,19.5,6.63,161.0,3.0,6.0
"Sour cream, light",136.0,3.5,10.6,7.1,212.0,141.0,10.0
"Sour cream, reduced fat",181.0,7.0,14.1,7.0,211.0,141.0,11.0
"Sour dressing, non-butterfat, cultured, filled cream-type",178.0,3.25,16.6,4.68,162.0,113.0,10.0
"Whey, acid, dried",339.0,11.7,0.54,73.4,2290.0,2050.0,199.0
"Whey, acid, fluid",24.0,0.76,0.09,5.12,143.0,103.0,10.0
"Whey, sweet, dried",353.0,12.9,1.07,74.5,2080.0,796.0,176.0
"Whey, sweet, fluid",27.0,0.85,0.36,5.14,161.0,47.0,8.0
"Whipped cream substitute, dietetic, made from powdered mix",100.0,0.9,6.0,10.6,26.0,3.0,1.0
"Whipped topping, frozen, low fat",224.0,3.0,13.1,23.6,101.0,71.0,7.0
"Yogurt, chocolate, nonfat milk",112.0,3.53,0.0,23.5,339.0,88.0,40.0
"Yogurt, chocolate, nonfat milk, fortified with vitamin D",112.0,3.53,0.0,23.5,339.0,88.0,40.0
"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",104.0,4.4,0.8,19.7,339.0,159.0,40.0
"Yogurt, frozen, flavors other than chocolate, lowfat",139.0,8.0,2.5,21.0,108.0,200.0,7.0
"Yogurt, fruit variety, nonfat",95.0,4.4,0.2,19.0,194.0,152.0,15.0
"Yogurt, fruit variety, nonfat, fortified with vitamin D",95.0,4.4,0.2,19.0,194.0,152.0,15.0
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",102.0,4.37,1.08,19.0,195.0,152.0,15.0
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",102.0,4.37,1.08,19.0,195.0,152.0,15.0
"Yogurt, fruit, low fat, 11g protein/8 oz",105.0,4.86,1.41,18.6,216.0,169.0,16.0
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",99.0,3.98,1.15,18.6,177.0,138.0,13.0
"Yogurt, fruit, low fat,9 g protein/8 oz",99.0,3.98,1.15,18.6,177.0,138.0,13.0
"Yogurt, fruit, lowfat, with low calorie sweetener",105.0,4.86,1.41,18.6,194.0,152.0,16.0
"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",105.0,4.86,1.41,18.6,194.0,152.0,16.0
"Yogurt, Greek, 2% fat, apricot, CHOBANI",93.0,7.22,1.71,12.2,,87.0,
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI",92.0,7.75,1.47,11.9,,92.0,
"Yogurt, Greek, 2% fat, mango, CHOBANI",93.0,7.64,1.69,11.8,,89.0,
"Yogurt, Greek, 2% fat, pineapple, CHOBANI",94.0,7.05,1.82,12.3,,92.0,
"Yogurt, Greek, 2% fat, strawberry banana, CHOBANI",88.0,8.0,1.71,10.2,,88.0,
"Yogurt, Greek, 2% fat,mixed berry blend, CHOBANI",93.0,8.26,1.83,10.9,,94.0,
"Yogurt, Greek, 2%fat, coconut blend, CHOBANI",92.0,8.11,1.71,11.0,,93.0,
"Yogurt, Greek, Blueberry, CHOBANI",82.0,7.23,0.24,12.8,128.0,90.0,
"Yogurt, Greek, fruit, whole milk",106.0,7.33,3.0,12.3,113.0,100.0,10.0
"Yogurt, Greek, nonfat, Fruit on Bottom, Blackberry, CHOBANI",95.0,7.54,0.37,15.4,0.0,94.0,
"Yogurt, Greek, nonfat, Fruit on Bottom, Pomegranate, CHOBANI",80.0,7.45,0.18,12.1,128.0,93.0,
"Yogurt, Greek, nonfat, Fruit on Bottom, Strawberry, CHOBANI",79.0,7.28,0.23,11.9,132.0,93.0,10.0
"Yogurt, Greek, nonfat, lemon blend, CHOBANI",78.0,8.62,0.15,10.7,,96.0,
"Yogurt, Greek, nonfat, peach, CHOBANI",80.0,7.76,0.11,11.9,,89.0,
"Yogurt, Greek, nonfat, plain, CHOBANI",54.0,9.53,0.24,3.43,,112.0,
"Yogurt, Greek, nonfat, raspberry, CHOBANI",81.0,7.65,0.22,12.0,,98.0,
"Yogurt, Greek, nonfat, strawberry, DANNON OIKOS",84.0,8.03,0.22,12.5,145.0,94.0,11.0
"Yogurt, Greek, nonfat, vanilla, CHOBANI",71.0,9.07,0.22,8.09,130.0,106.0,11.0
"Yogurt, Greek, nonfat, vanilla, DANNON OIKOS",85.0,8.12,0.14,12.7,115.0,89.0,10.0
"Yogurt, Greek, plain, lowfat",73.0,9.95,1.92,3.94,141.0,115.0,11.0
"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",59.0,10.2,0.39,3.6,141.0,110.0,11.0
"Yogurt, Greek, plain, whole milk",97.0,9.0,5.0,3.98,141.0,100.0,11.0
"Yogurt, Greek, strawberry, DANNON OIKOS",106.0,8.25,2.92,11.7,131.0,86.0,10.0
"Yogurt, Greek, strawberry, lowfat",105.0,8.17,2.57,12.3,129.0,88.0,10.0
"Yogurt, Greek, strawberry, nonfat",82.0,8.05,0.15,12.1,132.0,97.0,10.0
"Yogurt, Greek, vanilla, lowfat",95.0,8.64,2.5,9.54,123.0,100.0,10.0
"Yogurt, Greek, vanilla, nonfat",78.0,8.64,0.18,10.4,123.0,99.0,10.0
"Yogurt, Greek, whole, plain, CHOBANI",82.0,8.24,4.01,3.24,,111.0,
"Yogurt, plain, low fat",63.0,5.25,1.55,7.04,234.0,183.0,17.0
"Yogurt, plain, skim milk",56.0,5.73,0.18,7.68,255.0,199.0,19.0
"Yogurt, plain, whole milk",61.0,3.47,3.25,4.66,155.0,121.0,12.0
"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener",86.0,4.93,1.25,13.8,219.0,171.0,16.0
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",43.0,3.86,0.18,7.5,177.0,143.0,13.0
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D",43.0,3.86,0.18,7.5,177.0,143.0,13.0
"Yogurt, vanilla, low fat, fortified with vitamin D",85.0,4.93,1.25,13.8,219.0,171.0,16.0
"Yogurt, vanilla, low fat.",85.0,4.93,1.25,13.8,219.0,171.0,16.0
"Yogurt, vanilla, non-fat",78.0,2.94,0.0,17.0,141.0,118.0,16.0
